"","Area","Perimeter","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent","Class"
"1",30451,683.088,228.4132029,139.7512112,0.758226114,17482,0.762667818,"DERMASON"
"2",69976,1101.054,363.6692167,238.0051636,0.807237735,69380,0.67159708,"CALI"
"3",34995,852.337,257.5127042,169.9415444,0.558535881,35481,0.775010288,"SEKER"
"4",47130,1039.752,323.202651,209.4110334,0.719931035,64128,0.726418093,"SIRA"
"5",68414,1240.749,390.2530693,219.6137376,0.858413458,84801,0.77484464,"CALI"
"6",57014,923.038,383.1508728,185.8884983,0.924070748,56190,0.739304947,"HOROZ"
"7",41093,726.618,315.9397887,158.0653086,0.762094383,39265,0.796065256,"SIRA"
"8",26814,909.631,255.5822656,134.0504044,0.684477702,28494,0.736055927,"DERMASON"
"9",35270,495.164,235.8823434,198.8371317,0.670520806,32947,0.732501606,"DERMASON"
"10",34022,592.714,263.0151742,193.381869,0.716664462,37958,0.753101265,"DERMASON"
"11",49021,934.663,346.3927441,192.8756515,0.879474641,36538,0.612729073,"HOROZ"
"12",52319,1136.057,358.2390414,198.3391518,0.847339108,52352,0.781609489,"HOROZ"
"13",43462,1048.28,288.3574634,214.4824582,0.680627679,42637,0.776733949,"SEKER"
"14",83040,1042.405,463.9398636,279.4245109,0.800226995,71255,0.689400796,"CALI"
"15",43631,636.569,268.3812529,249.5487625,0.495794502,45752,0.778262074,"SEKER"
"16",32743,697.474,225.8011494,177.1235529,0.652095125,50045,0.81176743,"DERMASON"
"17",69635,1135.87,400.1027302,192.3708357,0.842879673,68883,0.7950857,"CALI"
"18",36601,721.533,275.0232283,165.1725933,0.683647284,36793,0.780918956,"SEKER"
"19",146845,1495.346,561.0813699,334.0417835,0.777434609,148631,0.80316647,"BOMBAY"
"20",35940,549.026,237.5388471,170.1975259,0.553440426,35949,0.788184435,"SEKER"
"21",45640,863.484,259.7149062,214.1476901,0.756931016,43498,0.698702135,"SIRA"
"22",40419,526.416,242.0855668,208.9948017,0.633016266,40356,0.791825282,"SEKER"
"23",47672,1086.112,360.4000647,181.6310288,0.935007032,48426,0.809977383,"HOROZ"
"24",41208,785.943,268.8656031,212.2342728,0.690317193,42626,0.790837046,"SEKER"
"25",202079,1884.155,623.3302322,396.2258876,0.798957439,205017,0.748783055,"BOMBAY"
"26",40522,600.013,233.7454657,182.5692603,0.579263328,39720,0.777975735,"SEKER"
"27",62906,902.905,430.9621476,171.2573202,0.85507442,63382,0.601244915,"HOROZ"
"28",47103,1005.126,317.1082143,174.4223882,0.777727244,45905,0.797492221,"SIRA"
"29",43516,562.928,236.9118215,240.5464373,0.563276764,41603,0.776316026,"SEKER"
"30",23588,669.166,241.6650449,145.6654098,0.812028091,26216,0.777509631,"DERMASON"
"31",49398,894.443,308.2740828,212.3802993,0.759737043,48073,0.695286892,"SIRA"
"32",42406,1033.457,265.4833953,183.7237869,0.585376319,38077,0.778304163,"SEKER"
"33",44729,1068.702,334.596407,202.3567249,0.797162032,45356,0.705064607,"HOROZ"
"34",44186,958.716,309.8621869,194.9753283,0.774607068,44257,0.817335535,"SIRA"
"35",182505,1536.164,618.9698129,341.095189,0.79279832,181018,0.817016537,"BOMBAY"
"36",56052,1202.116,369.0488126,206.0895897,0.851460465,55022,0.63276123,"HOROZ"
"37",44560,792.58,292.5316598,208.3063722,0.752412913,51538,0.700896479,"SIRA"
"38",38618,940.756,275.8250071,176.3290774,0.745918534,37298,0.755945205,"DERMASON"
"39",75990,1035.12,432.0965023,229.4042566,0.827979404,77867,0.742564755,"CALI"
"40",43357,744.025,349.8779817,158.4107204,0.837046706,60481,0.743580122,"HOROZ"
"41",50311,1093.501,339.543917,176.5838417,0.818303919,47620,0.77889137,"SIRA"
"42",193747,1531.5,615.2145855,366.2293947,0.760212203,195768,0.791283863,"BOMBAY"
"43",162924,1541.325,573.8803573,339.0080508,0.784613906,165295,0.795351763,"BOMBAY"
"44",57709,1046.611,396.1160579,166.9892185,0.902095112,54612,0.700478885,"HOROZ"
"45",51711,1093.095,302.641265,208.4467721,0.589714174,51909,0.770125081,"SEKER"
"46",175165,1527.458,619.3011455,369.8462112,0.847023059,178811,0.744982594,"BOMBAY"
"47",40804,648.091,228.0916107,213.5240095,0.530157455,55837,0.781544897,"SEKER"
"48",34360,937.663,215.068537,170.5984657,0.586901424,31533,0.783663391,"SEKER"
"49",49329,819.647,268.55043,214.8248127,0.605862982,52212,0.752055324,"SEKER"
"50",38344,782.719,258.9193306,161.2335571,0.778719053,43422,0.692485802,"SIRA"
"51",64335,846.747,425.8694216,213.0649686,0.88898312,67013,0.801945726,"HOROZ"
"52",23366,751.758,208.6804806,154.7458056,0.758207782,23708,0.760597009,"DERMASON"
"53",104933,1207.445,479.0315673,267.1465577,0.847692049,100802,0.79127348,"CALI"
"54",41709,787.968,363.3600229,172.8217374,0.911070902,31497,0.660362793,"HOROZ"
"55",60613,1157.461,368.1961368,194.4211853,0.89443358,58952,0.815848482,"HOROZ"
"56",42864,793.403,277.1766475,214.8487363,0.809630419,29066,0.71830348,"SIRA"
"57",45712,1101.432,320.5066396,186.2023078,0.764967607,61398,0.658444134,"SIRA"
"58",24588,735.276,260.6683088,145.0168418,0.758884508,28511,0.757057914,"DERMASON"
"59",146469,1542.745,546.1330352,335.3623545,0.780343538,148196,0.736025998,"BOMBAY"
