ID,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,TargetAmt
140,10,76,16,C,U,Midlands,Wales & West,Gold,16000,4,0,0
620,4,49,35,D,U,Midlands,Wales & West,Gold,6000,5,0,0
868,5,70,27,D,F,Midlands,Wales & West,Silver,0.02,8,1,1
1120,10,65,51,F,M,Midlands,Midlands,Tin,0.01,7,1,1
2313,11,68,4,A,F,Midlands,Midlands,Tin,0.01,8,0,0
2771,9,72,28,D,U,North,N West,Platinum,20759.81,3,0,0
3131,11,74,3,A,F,Midlands,East,Tin,0.01,8,0,0
3328,13,62,32,D,M,North,N East,Tin,0.01,5,0,0
4529,10,62,49,F,M,Midlands,East,Silver,2038.76,3,0,0
5886,14,43,49,F,F,,,Gold,6000,1,1,1
7420,7,60,52,F,F,North,N East,Gold,11000,2,0,0
9814,5,,24,C,M,South East,London,Silver,5000,1,1,1
10006,9,51,52,F,F,Midlands,Midlands,Silver,300,11,0,0
10219,6,64,19,C,F,South East,S & S East,Tin,0.01,9,0,0
10812,16,37,18,C,F,South East,London,Tin,0.01,4,1,2
11207,8,54,28,D,M,Midlands,Midlands,Silver,1420,1,0,0
11932,5,70,15,B,F,Midlands,Midlands,Gold,6104.66,8,0,0
14656,,42,19,C,F,Midlands,East,Tin,0.01,5,1,1
15350,7,,40,E,F,Scottish,C Scotland,Tin,0.01,5,1,1
17302,7,49,28,D,,South East,London,Tin,0.01,7,0,0
19496,9,66,49,F,F,Midlands,Midlands,Silver,500,12,0,0
19763,9,74,8,B,F,Midlands,Wales & West,Gold,6000,2,0,0
20478,6,70,37,E,,Midlands,East,Gold,16000,2,0,0
20761,7,66,30,D,M,South East,S & S East,Silver,1000,5,0,0
23124,6,46,27,D,F,South East,London,Tin,0.01,8,0,0
24554,10,39,,,M,Midlands,Ulster,Tin,0.01,5,0,0
24880,7,75,12,B,M,Midlands,East,Silver,4000,7,0,0
26387,,72,,,F,Midlands,Ulster,Silver,1250,23,1,1
27715,7,43,53,F,M,North,N West,Tin,0.01,5,1,1
29173,7,62,24,C,F,Midlands,Wales & West,Gold,20000,4,0,0
29440,8,37,5,B,M,South West,S West,Silver,1000,9,1,1
30600,9,49,48,F,F,South East,London,Tin,0.01,8,0,0
30937,8,79,32,D,,North,N East,Gold,6000,1,0,0
39330,,,50,F,M,Midlands,East,Tin,0.01,4,0,0
41092,3,50,35,D,F,Midlands,East,Gold,9800,3,0,0
41475,,66,28,D,M,South East,London,Tin,0.01,11,0,0
42439,15,35,19,C,F,Midlands,Wales & West,Silver,1630,5,1,1
45799,10,71,14,B,F,Midlands,Wales & West,Silver,1500,5,0,0
46906,7,44,51,F,F,,N West,Silver,1000,1,0,0
50237,8,42,15,B,M,North,N East,Tin,0.01,5,0,0
51950,9,68,8,B,F,South West,S West,Gold,6053.25,5,1,1
54496,9,31,32,D,F,North,Yorkshire,Tin,0.01,4,0,0
56073,8,70,12,B,F,South East,London,Gold,19053.82,15,0,0
57002,7,72,38,E,F,North,N East,Platinum,20526.96,3,0,0
57622,12,41,,,M,Midlands,East,Tin,0.01,9,0,0
59056,9,37,52,F,F,North,N East,Gold,6000,1,1,1
59862,8,58,24,C,F,North,N West,Gold,10053.35,7,0,0
63002,7,47,31,D,,South East,London,Silver,0.02,5,0,0
63983,8,71,37,E,M,Midlands,East,Silver,1000,6,0,0
71986,8,62,27,D,F,Midlands,Midlands,Silver,1000,5,1,1
72559,15,72,37,E,U,Midlands,Midlands,Gold,6340.26,12,0,0
73148,8,39,44,E,F,Midlands,Midlands,Silver,2241.36,4,1,1
75205,6,76,34,D,M,Midlands,Wales & West,Gold,12000,19,0,0
75469,7,61,11,B,F,Scottish,Border,Gold,6000,11,1,1
80322,6,53,32,D,,Midlands,Midlands,Tin,0.01,5,0,0
80608,8,60,22,C,M,North,Yorkshire,Silver,60,11,1,1
82678,15,42,52,F,F,South East,London,Tin,0.01,5,1,1
83852,13,,4,A,F,South East,London,Silver,5000,4,0,0
84573,10,57,38,E,F,Midlands,Midlands,Silver,50,11,0,0
87750,6,45,51,F,M,Midlands,Midlands,Tin,0.01,4,0,0
89796,11,75,12,B,F,Midlands,East,Silver,3052.66,8,1,1
91588,8,37,38,E,F,North,Yorkshire,Tin,0.01,5,1,1
93564,13,61,42,E,U,South West,S West,Silver,3000,8,0,0
95036,12,61,8,B,F,,,Silver,1020,9,0,0
95982,19,39,4,A,F,North,Yorkshire,Tin,0.01,8,1,3
97802,7,55,,,M,Midlands,Ulster,Silver,2000,1,0,0
102385,8,57,8,B,M,Scottish,C Scotland,Gold,9000,9,0,0
103225,13,18,22,C,F,South East,S & S East,Gold,6000,1,0,0
108413,5,56,1,A,U,North,N West,Silver,3000,8,0,0
109819,9,50,27,D,F,North,N East,Gold,20000,4,0,0
113743,,54,51,F,F,North,N West,Silver,2000,2,0,0
117498,11,67,15,B,U,North,N East,Platinum,22000,8,0,0
118397,7,78,37,E,F,Midlands,Midlands,Silver,2000,24,0,0
121312,5,61,19,C,F,Midlands,Midlands,Tin,0.01,5,0,0
121495,5,45,14,B,,South East,London,Silver,600,11,0,0
124710,11,66,1,A,F,South East,London,Silver,2000,5,0,0
126098,2,51,24,C,U,North,Yorkshire,Gold,10000,5,0,0
126586,3,,18,C,F,Midlands,Midlands,Gold,15000,1,0,0
127892,10,60,12,B,,North,N West,Silver,1020,9,0,0
129283,9,48,19,C,M,Midlands,East,Silver,3000,2,0,0
129410,8,53,24,C,F,South East,S & S East,Silver,100,1,0,0
140597,9,68,41,E,F,South East,London,Tin,0.01,7,0,0
144649,8,47,1,A,F,Scottish,N Scot,Tin,0.01,5,0,0
145157,11,39,40,E,F,South East,London,Silver,2800,1,1,1
146730,12,72,4,A,F,South East,London,Tin,0.01,8,0,0
148415,10,67,40,E,M,South East,London,Gold,6000,4,0,0
148849,9,60,25,C,F,South East,London,Tin,0.01,8,0,0
151432,6,,30,D,M,North,Yorkshire,Gold,9000,3,0,0
154040,11,52,52,F,M,North,N West,Tin,0.01,9,0,0
156515,7,55,27,D,F,Midlands,Midlands,Tin,0.01,8,0,0
158216,14,65,,,M,South East,S & S East,Gold,6053.35,6,0,0
159522,13,41,12,B,M,South East,London,Tin,0.01,7,1,1
162485,16,34,28,D,F,Midlands,East,Silver,3000,3,1,2
165808,6,40,32,D,F,North,N West,Silver,1500,7,1,1
168394,9,35,53,F,F,South East,London,Tin,0.01,4,1,1
170127,7,50,10,B,M,North,Yorkshire,Silver,5000,10,0,0
181498,6,62,1,A,,North,N West,Silver,3000,29,0,0
191396,7,,51,F,M,North,Yorkshire,Tin,0.01,10,0,0
192791,9,60,16,C,M,Midlands,East,Gold,8100,5,0,0
197440,8,49,14,B,F,North,N West,Gold,7600,4,0,0
202878,6,57,53,F,M,Midlands,Midlands,Silver,2000,8,0,0
203289,7,52,51,F,U,Midlands,Midlands,Platinum,23053.35,6,0,0
206032,6,75,52,F,M,Scottish,C Scotland,Gold,10000,17,0,0
209732,15,55,37,E,,Midlands,Midlands,Gold,10000,6,0,0
213241,5,57,51,F,F,,,Gold,12000,1,0,0
215554,8,52,22,C,F,North,N West,Silver,2500,6,1,1
217158,12,74,3,A,F,Midlands,East,Gold,6000,5,0,0
223182,9,79,28,D,F,South East,London,Silver,5000,5,0,0
234540,6,48,32,D,,North,Yorkshire,Silver,420,4,0,0
239844,11,60,41,E,,South East,London,Tin,0.01,8,0,0
243051,3,38,53,F,F,North,N West,Silver,50,9,1,1
248258,9,58,10,B,F,North,N West,Silver,5000,5,0,0
249335,4,52,30,D,M,Midlands,Wales & West,Silver,1800,4,0,0
252646,3,45,47,F,F,North,Yorkshire,Silver,100.01,9,0,0
253839,9,42,51,F,F,North,N West,Silver,2000,4,0,0
256366,10,40,51,F,U,Midlands,Midlands,Silver,50,10,0,0
259802,5,55,35,D,,Midlands,Midlands,Gold,10100,8,0,0
262684,8,77,23,C,,Midlands,Midlands,Gold,6000,3,0,0
263419,11,27,19,C,F,South East,London,Tin,0.01,7,1,2
267236,4,60,37,E,F,North,N West,Tin,0.01,8,0,0
270962,7,58,4,A,U,South East,London,Silver,2500,5,0,0
271101,7,54,5,B,,Midlands,Midlands,Tin,0.01,,0,0
274623,7,42,32,D,M,North,N West,Tin,0.01,4,0,0
275700,10,36,48,F,F,,,Silver,1000,9,1,1
276871,6,,41,E,F,South East,London,Gold,5500,1,1,1
277010,4,57,31,D,F,South East,London,Tin,0.01,5,0,0
278661,10,72,18,C,F,Midlands,Midlands,Gold,11105.32,8,0,0
280895,10,,17,C,F,Midlands,East,Tin,0.01,6,1,1
282057,7,37,51,F,F,North,N West,Tin,0.01,5,0,0
285846,9,76,51,F,F,Midlands,East,Silver,2000,8,1,1
287628,6,45,34,D,F,North,N West,Tin,0.01,5,0,0
288748,14,,19,C,F,South East,S & S East,Gold,10000,8,0,0
290890,,51,48,F,M,South East,London,Silver,0.02,9,0,0
293083,15,61,12,B,,South East,S & S East,Silver,500,2,0,0
293555,12,61,11,B,F,Scottish,N Scot,Silver,4000,1,0,0
295620,9,47,,,M,Midlands,Ulster,Tin,0.01,5,0,0
297194,8,52,50,F,U,Midlands,East,Tin,0.01,8,0,0
300845,8,40,38,E,U,Midlands,Midlands,Silver,1000,1,0,0
301175,5,56,34,D,F,Midlands,Midlands,Tin,0.01,9,0,0
301981,8,51,47,F,F,North,N West,Gold,9000.01,8,0,0
310786,9,50,24,C,F,South East,London,Gold,12000,2,0,0
312169,4,46,38,E,,North,N West,Tin,0.01,5,0,0
312762,8,41,8,B,F,South East,S & S East,Silver,1675,7,1,1
315559,8,60,10,B,M,South East,London,Silver,100.01,8,0,0
315788,10,70,15,B,F,South East,S & S East,Silver,2250,8,0,0
316350,9,50,28,D,F,South East,London,Tin,0.01,9,1,1
317640,15,37,49,F,F,Midlands,Midlands,Tin,0.01,8,1,1
317950,9,74,18,C,F,South East,London,Silver,3000,5,0,0
318922,8,61,37,E,,South West,S West,Silver,1200,6,1,1
323039,8,49,4,A,,North,N West,Silver,4000,3,0,0
324469,7,,34,D,F,South East,S & S East,Tin,0.01,8,0,0
331341,9,53,11,B,M,Scottish,C Scotland,Gold,6000,4,0,0
332658,4,,34,D,F,Midlands,Midlands,Tin,0.01,5,0,0
335606,,59,45,E,U,Scottish,Border,Silver,2500,7,0,0
340146,7,63,12,B,,North,N West,Tin,0.01,5,0,0
342033,7,51,32,D,F,North,N West,Silver,3026.67,10,0,0
343102,5,62,27,D,F,North,N West,Platinum,56053.35,7,0,0
345474,3,46,23,C,F,South East,S & S East,Silver,0.1,10,0,0
345865,10,39,38,E,M,North,Yorkshire,Gold,7500,2,1,1
346225,6,53,36,E,M,South East,S & S East,Silver,3000,6,1,1
346403,10,,27,D,,Midlands,Midlands,Tin,0.01,5,0,0
347086,7,48,21,C,F,South East,London,Silver,5000,4,0,0
347531,7,62,12,B,F,South East,S & S East,Gold,12808.95,11,0,0
349291,9,26,12,B,M,South East,London,Silver,4000,1,0,0
349739,7,,41,E,F,North,N East,Silver,2500,5,0,0
351482,6,43,41,E,F,South West,S West,Gold,6000,2,0,0
356425,7,78,41,E,F,Midlands,Midlands,Gold,6000,5,0,0
356719,3,67,19,C,F,Midlands,East,Gold,12049.25,3,0,0
357898,2,45,27,D,F,North,N West,Tin,0.01,5,0,0
358649,10,60,32,D,,Scottish,C Scotland,Tin,0.01,5,0,0
359955,13,68,44,E,F,South East,London,Gold,7500,6,0,0
361283,14,74,4,A,U,South East,S & S East,Platinum,20245.89,3,0,0
362468,5,53,35,D,M,Midlands,Midlands,Tin,0.01,8,0,0
369225,5,51,23,C,M,Scottish,C Scotland,Silver,420,8,0,0
369780,9,,4,A,F,South East,S & S East,Platinum,25000,1,0,0
370398,6,51,52,F,F,South East,S & S East,Silver,200,1,0,0
370622,5,51,4,A,U,South East,S & S East,Silver,200,2,0,0
371475,11,36,21,C,M,South East,London,Tin,0.01,4,0,0
374644,8,63,49,F,F,Midlands,Wales & West,Gold,6000,2,0,0
375330,8,69,16,C,F,South East,S & S East,Silver,500,9,0,0
376078,11,40,32,D,F,Midlands,Midlands,Tin,0.01,5,1,1
380113,4,46,45,E,F,Midlands,Wales & West,Silver,2165.75,11,0,0
393347,,46,34,D,M,South East,S & S East,Tin,0.01,8,0,0
396192,8,46,4,A,F,South East,S & S East,Silver,2245,11,1,1
397407,9,38,35,D,F,North,N West,Tin,0.01,5,1,1
397660,4,67,52,F,M,North,N West,Gold,11000,5,0,0
400297,11,73,53,F,U,North,Yorkshire,Platinum,26000,4,0,0
403768,5,53,11,B,F,Scottish,Border,Gold,9000,8,0,0
407364,6,55,37,E,F,Midlands,Midlands,Silver,5000,4,1,1
408964,9,54,4,A,F,South East,London,Silver,3000,8,0,0
414832,6,45,52,F,M,South East,London,Tin,0.01,5,0,0
418943,10,39,25,C,M,,,Tin,0.01,4,1,1
421979,5,58,38,E,F,North,N West,Silver,420,4,0,0
423211,8,33,35,D,F,North,N East,Tin,0.01,5,1,1
434671,11,35,27,D,M,South East,London,Tin,0.01,8,1,1
435961,4,71,4,A,M,North,Yorkshire,Gold,6000,12,0,0
439088,10,55,15,B,M,Scottish,Border,Tin,0.01,4,0,0
442542,,57,27,D,M,South West,S West,Silver,480,11,0,0
454702,13,53,5,B,M,South East,London,Gold,6871.12,5,0,0
462705,9,58,44,E,F,South East,London,Silver,1500,19,0,0
467812,13,43,20,C,M,North,Yorkshire,Tin,0.01,5,0,0
473596,8,47,32,D,F,South East,London,Tin,0.01,5,0,0
479403,4,74,18,C,M,South East,S & S East,Gold,6000,2,0,0
481572,10,49,38,E,M,North,N East,Silver,5000,1,0,0
486701,9,58,27,D,F,South East,S & S East,Silver,3000,9,0,0
492566,8,56,27,D,F,Midlands,Midlands,Tin,0.01,8,0,0
498300,5,47,14,B,F,South East,S & S East,Gold,6000,1,0,0
500100,14,30,52,F,F,Midlands,Midlands,Silver,100,1,1,1
502316,3,68,30,D,F,South East,S & S East,Platinum,50000,4,1,1
503053,8,45,35,D,F,North,N West,Silver,1000,4,0,0
518069,7,71,4,A,F,South East,London,Gold,12000,6,0,0
523259,10,65,28,D,F,South East,S & S East,Gold,9053.35,8,0,0
528102,10,74,24,C,F,South East,London,Gold,19000,5,0,0
530042,10,43,32,D,F,North,N West,Tin,0.01,5,1,1
532479,11,44,42,E,F,South West,S West,Silver,500,9,0,0
543004,9,65,48,F,U,South East,London,Silver,3000,5,0,0
543683,7,46,28,D,M,South East,S & S East,Gold,17409.76,12,0,0
