"","Area","Perimeter","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent"
"1",39469,592.594,240.6089526,204.6825401,0.656937109,41251,0.770061821
"2",68867,1289.557,392.5768269,208.2268675,0.781352141,69827,0.757772026
"3",72311,1215.88,368.0382423,236.625739,0.81379486,72102,0.738706512
"4",67683,1132.556,415.6129887,192.512999,0.831422712,68119,0.755597023
"5",72178,883.968,401.5815594,209.7996525,0.814971082,72633,0.770729809
"6",38204,994.709,239.5896744,197.960151,0.564065094,38981,0.758213743
"7",49619,1004.506,309.179702,194.9980907,0.637731317,36717,0.770952828
"8",33572,723.833,213.6683877,207.4441908,0.617338543,31552,0.790573621
"9",70362,947.174,402.0433811,235.34239,0.783647138,60814,0.671949904
"10",32499,922.153,255.7946414,199.8053856,0.680022798,35555,0.783222459
"11",81568,1186.313,439.9481575,219.3517311,0.808873487,83448,0.800577062
"12",50151,900.356,308.369839,205.4703919,0.653136136,47975,0.748311931
"13",56831,929.025,369.9530909,217.8216815,0.829992909,57715,0.811629356
"14",67085,1240.264,385.2523809,243.4320579,0.821197049,69070,0.731560796
"15",35949,790.064,239.9538033,179.0644712,0.551256712,36161,0.790921038
"16",34424,689.15,245.4045324,205.5575666,0.551632159,34807,0.751377281
"17",38768,773.241,270.3787596,179.5014465,0.598626147,40526,0.758995508
"18",42075,862.246,272.9857168,172.0484431,0.675572726,44819,0.772275434
"19",43408,824.03,272.0494826,185.0101456,0.730620735,43190,0.761055999
"20",71894,1075.163,427.7895319,199.3459318,0.790220279,71060,0.836644279
"21",38281,898.047,259.982197,177.3832618,0.656868121,37023,0.746543838
"22",37459,766.253,256.3806793,224.9002945,0.629419815,37139,0.755714336
"23",41075,523.578,276.0598302,199.2392303,0.568048679,36793,0.769647061
"24",89874,1021.542,430.8095238,284.5022138,0.865304641,90479,0.725032529
"25",76601,1244.172,439.2202295,250.5002688,0.787463042,63131,0.744436636
"26",43629,886.292,234.7585827,225.7402431,0.44445331,48564,0.770238642
"27",69155,1219.425,362.0440834,224.8132456,0.795089744,68815,0.695419354
"28",40710,921.824,222.7128626,180.9078311,0.529390447,41920,0.782163585
"29",86455,1382.887,466.4119025,254.2599177,0.806732487,89585,0.720360712
"30",83898,962.822,383.6215202,242.9410901,0.705905169,86850,0.731074277
"31",47288,1063.068,250.0127617,238.6161469,0.574062513,48617,0.743133145
"32",78373,1198.773,391.5927574,241.1024018,0.828710048,78472,0.774053456
"33",79611,1148.895,448.4039672,243.8162554,0.864163875,80020,0.786228984
"34",34320,550.27,221.5789995,216.7261038,0.467001788,32139,0.771607035
"35",40232,694.894,236.0182035,227.0761395,0.508957618,38836,0.754402273
"36",37237,958.136,212.0560144,204.4816588,0.622906581,36205,0.762043981
"37",74776,932.476,380.2852888,219.3123285,0.837448588,77639,0.7525582
"38",32386,718.403,218.8616546,159.969446,0.616958302,31411,0.768328948
"39",148828,1736.26,548.7800079,320.0594662,0.803789665,153151,0.805071853
"40",38191,849.906,222.4065578,210.7458237,0.552057492,36585,0.772724376
"41",40248,652.246,278.91351,198.444581,0.600215601,41323,0.810641115
"42",85315,916.727,443.250447,235.1182382,0.850432369,72542,0.813157012
"43",39267,985.96,217.3213006,213.6660815,0.505889963,40693,0.80599653
"44",43360,641.137,280.6239011,227.0879364,0.542789059,42220,0.790853767
"45",39511,626.453,267.9934437,220.7098583,0.557213372,24985,0.759698429
"46",40112,882.254,268.0610647,205.7938386,0.595381015,41911,0.796881167
"47",37551,968.471,276.0606052,206.7857585,0.57769265,38906,0.770516567
"48",52448,1120.555,338.7492211,175.2866127,0.78737304,53082,0.784665165
"49",78397,1383.266,465.8398402,238.0392203,0.884596186,81425,0.715533131
"50",38054,793.483,239.1663561,213.5769539,0.517947829,36664,0.781460447
"51",81561,1264.081,392.8771199,254.5991785,0.822527753,80774,0.808163086
"52",41787,566.097,265.63868,178.6620061,0.626222081,40459,0.756830783
"53",143465,1282.519,504.4806744,364.1769526,0.716338373,144385,0.788376089
"54",47079,596.016,289.7899371,217.5297246,0.616893508,47984,0.741869625
"55",72594,1073.203,417.2461428,221.2859912,0.803991667,88618,0.743485309
"56",74568,951.424,436.1205378,201.793214,0.844467483,74997,0.769454132
"57",88656,1400.311,454.6135875,233.8346341,0.814294842,85088,0.791980102
"58",64215,958.446,365.2117577,245.5028807,0.80560774,62264,0.755548469
"59",34574,776.802,248.6199241,218.3714382,0.575379423,35372,0.772259661
"60",39606,701.478,269.9228869,200.775084,0.590513632,37764,0.783505266
"61",80046,957.896,444.272882,241.2120329,0.780596749,79116,0.771213267
"62",71797,952.947,356.6640069,227.0555033,0.786335087,74745,0.77097616
"63",35438,531.055,242.9085862,185.6062077,0.588388773,34435,0.797897483
"64",83980,1212.756,446.434465,266.2006291,0.858458722,84035,0.778780046
"65",39498,949.412,237.4861639,175.0959396,0.614119186,37702,0.797718965
"66",42264,947.988,281.213079,229.6337237,0.692535284,42578,0.747968467
"67",50418,824.331,299.0138788,194.9187051,0.687796784,48134,0.777552229
"68",74165,866.515,379.0876893,215.1864245,0.828543799,72030,0.788280926
"69",69604,926.619,372.3127853,236.4891327,0.759150313,74400,0.740364951
"70",64440,1253.254,388.807101,221.5302781,0.765945256,64371,0.797520232
"71",71784,843.07,392.0366068,272.9187698,0.748659825,76502,0.793134928
"72",68932,918.13,407.3505072,203.3666629,0.810357987,56929,0.784752571
"73",172143,1475.824,630.7870157,341.7286405,0.795644054,173211,0.690950095
"74",79018,1081.576,436.9066749,244.5780789,0.864079996,81325,0.811514128
"75",34346,722.552,210.8096827,196.5299601,0.603169001,50726,0.794093548
"76",42610,862.853,296.8057797,169.2999956,0.726635471,28951,0.765575477
"77",47107,1014.217,302.1204312,218.7217345,0.712111687,33169,0.795663616
"78",63043,979.411,405.1690652,236.3906165,0.837643971,68359,0.792257136
"79",42636,642.751,265.3907491,218.0250168,0.500619822,43613,0.782542418
"80",49550,1063.292,271.3891679,203.5711408,0.635458269,48688,0.784687047
"81",82390,1104.563,462.7685381,263.6750338,0.845166659,84560,0.667086524
"82",38334,984.911,237.2070947,214.2760843,0.594503054,22748,0.791830143
"83",82534,1097.537,420.3100157,274.951547,0.795589131,98558,0.758454357
"84",44046,687.067,289.356463,194.4773641,0.571352103,48945,0.785997855
"85",34330,657.198,200.6985114,202.0791272,0.559366418,48790,0.773751004
"86",37290,771.308,230.5080036,192.4064131,0.607835327,37988,0.753077587
"87",83342,1405.994,425.90622,269.9148087,0.880053608,86121,0.666506697
"88",38943,1011.815,225.7857739,229.2150384,0.512228649,40776,0.787181851
"89",40822,565.525,279.2321224,212.1769947,0.622664753,44376,0.796940689
"90",82712,1142.783,445.3111594,212.2312284,0.875146145,83248,0.670901153
"91",79159,1188.032,415.2532707,268.5706052,0.754517854,85176,0.716083492
"92",29374,523.863,187.938799,205.4090157,0.546029376,32035,0.780063973
"93",90653,1430.073,481.5814318,249.4340299,0.842639742,91366,0.826440677
"94",33762,676.633,230.6834539,215.1835423,0.542829123,33604,0.789191589
"95",33497,819.568,224.4365186,174.3552127,0.479205785,33451,0.766380623
"96",42846,726.551,285.6385871,198.1131816,0.752888766,42460,0.791058065
"97",88192,1240.143,461.1077734,277.8584406,0.85814619,89563,0.669925222
"98",72280,1130.353,424.9509279,197.2095892,0.857316052,73275,0.724668136
"99",37754,821.385,255.6030495,222.1354875,0.578473196,39287,0.781591613
"100",36190,663.857,222.3900847,175.1236949,0.501252216,34975,0.787692412
"101",47197,735.401,258.1337918,217.8282279,0.590472768,61825,0.768803951
"102",38203,710.418,273.6406421,189.0194663,0.651906514,40883,0.751879639
"103",36314,616.32,231.9887017,202.2628165,0.43475413,39040,0.795217768
"104",78957,1087.558,418.9228423,216.8545384,0.877316413,78855,0.738026443
"105",42745,588.477,255.1860815,193.795137,0.730333242,40438,0.787359884
"106",43373,1026.758,260.998106,195.7730894,0.709424451,43682,0.714730056
"107",34705,531.263,246.9570277,210.5230303,0.517776799,36663,0.769229691
"108",40409,729.954,268.7734391,198.7523901,0.528357528,41361,0.769285184
"109",44717,802.519,260.5470724,196.288422,0.524981793,45178,0.807094526
"110",39301,820.354,219.603805,214.7979024,0.58310312,38377,0.769313279
"111",35607,486.203,260.6331276,208.0132822,0.56760356,36366,0.798875539
