"","Area","Perimeter","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent"
"1",37583,928.772,273.8579325,159.1625923,0.780301482,33919,0.769781782
"2",35876,784.999,260.767114,183.8538911,0.673359116,36355,0.79616348
"3",50704,1117.209,326.8453097,177.8831494,0.854174555,51071,0.625116297
"4",43866,685.236,275.0922402,172.0176662,0.765289363,26881,0.768513049
"5",32395,971.709,236.8550986,178.309657,0.797470655,35003,0.690045834
"6",30845,735.939,231.2750467,166.1318183,0.682214254,31655,0.730252744
"7",25432,529.901,187.2069988,145.3440389,0.640346226,24778,0.790973355
"8",24175,486.071,190.1488342,179.1761061,0.705386345,25941,0.712274685
"9",27153,422.334,241.544663,182.5389229,0.757042235,27592,0.803452774
"10",44824,996.292,316.4856852,186.0246231,0.779538313,42248,0.699385612
"11",26546,931.898,244.754365,158.8625477,0.653337074,26900,0.761528527
"12",25234,419.114,226.0311768,130.1875817,0.735411145,23382,0.703210664
"13",50604,1146.443,311.7920644,203.1672686,0.787560725,55173,0.725689919
"14",38059,745.522,241.0830981,165.7076411,0.711801021,25206,0.747247855
"15",36532,627.905,233.2484781,177.4971913,0.610776563,36795,0.772145144
"16",45042,853.718,317.1790174,170.8512305,0.875191434,46849,0.744810588
"17",26354,431.33,197.0825781,180.5481912,0.725430882,27480,0.758613332
"18",45012,576.742,262.1188365,215.6781499,0.649310798,45030,0.771026034
"19",28015,671.89,240.5315945,171.7423566,0.757637972,40710,0.74700288
"20",36980,837.779,278.7669336,195.0694954,0.800601049,40169,0.753510317
"21",28429,768.698,201.8263804,166.0740366,0.709052159,27303,0.754532772
"22",40903,778.529,270.6186985,224.0181376,0.460268457,43677,0.77329521
"23",20635,434.984,196.0343197,153.5561267,0.706596063,20885,0.737449058
"24",32505,645.91,248.4107609,172.6587023,0.730807643,35126,0.708895428
"25",30636,802.663,218.5960263,171.9554514,0.712140557,15354,0.721109217
"26",45005,1009.763,279.2635091,204.4320496,0.768203754,47204,0.801248812
"27",26620,512.942,227.0958895,149.4860508,0.729007303,12770,0.717350721
"28",24580,677.458,236.9243702,151.179741,0.709969448,28715,0.711744194
"29",19830,447.957,199.916012,152.9340624,0.670051173,36222,0.746315866
"30",37279,797.933,227.3742271,183.6941715,0.718591094,40539,0.789590284
"31",40592,793.591,267.7810858,176.6420474,0.742897475,42365,0.797122669
"32",47249,1037.527,353.7900656,224.3580812,0.745052472,66649,0.824870366
"33",40545,702.374,264.7622106,195.9557322,0.743469944,57313,0.785217777
"34",37303,742.57,275.4858266,214.4001394,0.683370824,35945,0.790367482
"35",24772,686.334,248.499523,120.4666821,0.700742109,11756,0.829606837
"36",33213,743.995,259.1950344,163.5914897,0.659759118,33868,0.757912108
"37",53676,752.625,279.1582705,255.5490769,0.608372103,56264,0.762476052
"38",53419,961.424,331.3361066,233.4260147,0.822135894,53234,0.793131424
"39",34502,590.72,224.4914707,179.779832,0.735851308,36099,0.733886133
"40",36927,532.408,205.1984971,165.8311998,0.593525173,33121,0.792177018
"41",27817,644.327,243.3634483,158.2347126,0.733320878,24344,0.680124651
"42",49530,1032.214,276.7827456,247.0026365,0.616003979,66334,0.764148264
"43",29206,675.968,226.5045631,138.3722656,0.6839019,30433,0.773817136
"44",28847,690.533,245.1072945,152.0323792,0.758909267,29176,0.724090056
"45",45433,644.359,236.5477728,190.8551401,0.603801457,42716,0.767107784
"46",32567,591.246,229.3011249,156.9391193,0.703234715,18642,0.786113064
"47",35527,830.929,242.7249747,203.6427105,0.668831087,20045,0.723134439
"48",34196,883.384,226.6497379,156.3844749,0.659083496,36367,0.717371854
"49",27176,554.54,226.3890143,174.1036438,0.710895094,27956,0.802227935
"50",34483,506.494,229.1638614,181.6536946,0.651629042,34789,0.792108637
"51",23556,872.911,206.583834,170.0865242,0.73268656,40286,0.760673369
"52",41605,1034.967,244.8154465,190.3162995,0.562260268,42045,0.777113654
"53",46313,981.466,300.1783595,201.6119362,0.792780348,46743,0.705141295
"54",30695,679.757,257.2095917,149.3707881,0.682921187,32734,0.763230049
"55",38426,642.545,290.2958683,203.1138847,0.820099299,40645,0.698445471
"56",37059,685.943,290.136902,148.494485,0.758691036,35067,0.679728249
"57",33163,827.04,293.5412385,177.5818512,0.835914153,34387,0.768348352
"58",31619,536.534,259.6910282,150.3124901,0.690093288,32741,0.778038458
"59",52458,653.778,319.0122388,210.8095859,0.616769246,50492,0.770772499
"60",28942,925.533,241.5651924,134.212971,0.760923256,15058,0.788470198
"61",45892,738.763,310.8794032,193.7098876,0.803952552,47208,0.773258034
"62",34605,574.35,207.3515703,172.4590554,0.535788413,39404,0.788309498
"63",46979,704.39,312.3522139,203.1065056,0.793344387,46433,0.789134941
"64",47440,722.298,278.2678116,193.9313824,0.732507853,46021,0.680939353
