"","Area","Perimeter","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent"
"1",34693,973.499,253.0085607,140.6731574,0.772498382,37106,0.786717509
"2",46921,1083.805,327.9269817,214.7017435,0.761656562,45068,0.765817012
"3",51952,689.385,377.785188,199.2147674,0.91159909,50313,0.631526413
"4",75597,1207.427,405.2740924,256.6397333,0.808320036,76285,0.69418302
"5",42176,923.171,326.3537777,158.8323161,0.81149348,43579,0.69369526
"6",50485,963.68,326.9902143,154.2597522,0.829710948,36447,0.762826797
"7",58679,1092.096,410.8013976,195.8776914,0.908609896,61348,0.720090817
"8",22213,704.077,215.7230398,139.7834891,0.660596815,9637,0.73425479
"9",46917,1050.897,343.0465793,166.2509847,0.820878307,47835,0.739471013
"10",75774,1279.397,404.5550411,250.2186657,0.785173146,90708,0.803193172
"11",70388,1262.092,387.2480544,249.1257972,0.798669107,70735,0.742806557
"12",30092,587.306,240.5241489,186.4163656,0.733634077,30442,0.705229302
"13",32047,562.439,221.6854809,195.1988395,0.725200263,36997,0.705091353
"14",54908,761.846,374.263826,190.0629375,0.882082603,54927,0.578024904
"15",48383,880.858,325.3347366,174.3598234,0.89300928,47559,0.626004023
"16",68534,1126.083,433.8180634,171.8612638,0.913499266,68403,0.766667696
"17",72373,862.569,397.5012239,214.3130154,0.854571782,74221,0.773458114
"18",47134,756.53,367.8744005,142.4438538,0.878249451,47228,0.632442654
"19",29970,924.25,250.9339237,175.326746,0.747788362,45981,0.713317977
"20",44721,944.183,342.1866182,148.403102,0.840516858,47539,0.647555728
"21",59640,1110.819,406.5905618,210.0744139,0.862377223,58157,0.613189704
"22",54974,798.246,363.0685395,171.6476771,0.86606879,55063,0.63224162
"23",45297,955.508,289.1481738,176.7771706,0.800654495,42154,0.677953995
"24",55529,905.28,399.404667,188.0395485,0.866828996,60214,0.797640958
"25",63025,1233.165,433.5856781,223.606157,0.869065152,61345,0.786159386
"26",57991,1057.816,390.5595374,175.4427948,0.891035884,45836,0.622752396
"27",76327,1173.442,398.6094873,260.1898224,0.81881612,62010,0.803747166
"28",53342,977.369,346.9909792,156.6608243,0.901540022,54141,0.631471496
"29",48264,694.672,366.9952782,190.3313435,0.901738313,53141,0.668242012
"30",46646,1012.252,351.1981688,197.5584257,0.824881581,47116,0.815574593
"31",46619,859.756,308.9656058,180.0707659,0.881896378,53450,0.703576757
"32",55558,844.981,391.1123289,194.1268812,0.903203986,53110,0.716383915
"33",56297,995.726,394.9999263,183.4683432,0.843500278,53613,0.680435931
"34",51685,796.988,352.1157118,178.5873704,0.882160431,53657,0.754228728
"35",57999,750.345,402.8090617,183.4806656,0.881303749,57672,0.73212007
"36",53016,881.937,335.4041637,226.9448259,0.808804815,56369,0.621362193
"37",80913,881.392,403.0249544,226.1989673,0.768981731,77770,0.799672662
"38",56265,1233.63,362.3920776,174.8493468,0.836877981,57544,0.753600402
"39",50614,1127.36,344.0970513,170.8718847,0.830210417,50175,0.787398304
"40",45678,652.879,286.5213545,184.6825427,0.733616939,49567,0.745622973
"41",35576,912.731,218.915944,197.8827035,0.688388296,38264,0.771520294
"42",26297,426.157,175.5127928,126.4577511,0.697027375,38923,0.744973156
"43",56125,865.283,379.6710196,188.3372049,0.860294209,56852,0.733649749
"44",41196,804.25,327.8122352,152.8473559,0.848107195,45264,0.655121438
"45",66997,1036.181,443.744426,221.6702862,0.857868469,69628,0.746847697
"46",50892,1020.694,365.6219606,155.1813961,0.870434193,38601,0.82938779
"47",41313,863.641,332.1461639,140.9518933,0.868007568,39413,0.800748025
"48",51514,1108.336,377.2105493,150.1710479,0.832180777,45574,0.82499138
"49",78306,1178.206,438.8931843,258.7656131,0.778588452,80505,0.775106333
"50",53845,1026.775,388.9798908,176.8157406,0.864043983,55500,0.769410139
"51",64292,1259.471,371.5728164,217.1852698,0.851373592,65087,0.823133103
"52",53719,792.441,414.4833456,210.7595804,0.920555111,59251,0.793743949
"53",41990,711.106,263.1654224,184.1983605,0.742918118,27769,0.741376352
"54",46753,1070,317.0127548,161.8771407,0.848322616,51546,0.790733716
"55",72341,890.939,384.89029,242.8197075,0.75507404,73134,0.757898012
"56",51305,786.784,375.8738867,171.0868921,0.881503364,51461,0.742481367
"57",63728,1068.73,376.9134584,245.8784162,0.76740532,64090,0.769554795
"58",53238,784.909,384.253393,151.4062712,0.931022828,54436,0.584870068
"59",43768,781.991,275.7542583,210.2864083,0.733038154,41973,0.761733782
"60",53144,1171.431,368.305246,201.450109,0.891834534,53694,0.761352985
"61",59587,833.379,394.3018576,222.999919,0.880002521,59913,0.775406962
"62",69072,1112.193,445.0984353,193.4877271,0.917420528,54226,0.802335294
"63",43830,765.527,319.0478186,163.6146833,0.790642144,44905,0.731264198
"64",37556,939.688,246.8757882,160.9690138,0.72553874,40313,0.749323159
"65",41506,592.127,275.2881026,158.0118009,0.722735109,43986,0.807024332
"66",54982,1133.428,348.1801379,187.909273,0.854338485,57007,0.655776356
"67",44697,1027.864,309.8284455,216.530011,0.786132543,60597,0.794259951
"68",57610,1213.927,362.3716587,226.6677571,0.839460492,45071,0.801348584
"69",60366,801.984,394.8217816,197.6158697,0.893250175,64636,0.671673659
"70",86251,952.554,491.2933661,259.7027518,0.836718008,73859,0.743559386
"71",62645,1160.904,384.6604211,191.0318779,0.793068248,61710,0.778510008
"72",62562,871.599,426.170981,202.4349847,0.928845062,60986,0.797316364
"73",31183,565.094,284.5589842,192.0072754,0.700404649,50315,0.763109963
"74",48543,787.393,387.4534479,179.8355784,0.879420818,49401,0.656174207
"75",30084,861.457,235.7478259,126.5916158,0.790205582,28202,0.683549333
"76",44663,775.136,312.6875773,194.3811878,0.831510535,45151,0.586138231
"77",48231,832.204,330.6935231,157.0931639,0.84770527,35525,0.782536792
"78",76284,1291.526,402.5956338,234.1473082,0.806805398,77948,0.756448715
"79",47826,903.278,307.9063096,231.859718,0.687734804,48048,0.724657987
"80",62386,813.473,429.9620489,190.4611049,0.884383359,64200,0.795652827
"81",48991,908.483,356.9493965,154.3334364,0.902551961,50140,0.653124584
"82",76150,956.223,411.9255671,211.5325347,0.859763353,74998,0.758281348
"83",32281,657.063,243.5720691,171.2193479,0.68611276,32819,0.736232843
"84",48480,714.84,336.1930184,142.8388757,0.84609922,45746,0.706621616
"85",25769,727.652,189.442597,138.1620557,0.66930709,25461,0.793701556
"86",49711,697.045,359.8905157,176.5827292,0.833167259,52150,0.718386372
"87",51522,761.249,334.9931407,163.1406073,0.878378422,50823,0.744429269
"88",42076,991.887,296.7048838,177.246285,0.775785079,44330,0.75833589
"89",60109,1190.971,409.6019487,167.7398927,0.903046156,58110,0.738933885
"90",47798,1093.411,373.6579311,172.3627846,0.90075072,48180,0.694248633
"91",65001,1155.689,391.2031563,240.0826423,0.795256374,65414,0.797554906
"92",63635,865.366,380.2569318,229.1763524,0.874497674,64467,0.717505256
"93",63070,854.6,377.1008271,194.5564251,0.793938314,64254,0.693831871
"94",73730,1017.004,414.4465876,219.6570472,0.802282462,73184,0.774167334
"95",52330,941.603,390.7761338,169.6933633,0.825581237,51754,0.79515519
"96",54296,1110.617,378.0537286,160.1543208,0.883506762,54615,0.725972469
"97",30845,801.113,214.7667821,184.1621663,0.67540655,31808,0.724001494
"98",51935,796.709,320.6198878,181.7410767,0.786903689,53934,0.791656163
"99",39045,906.244,244.5810135,153.839001,0.733837737,34501,0.776817153
"100",54055,724.648,391.9582022,195.1877603,0.849184212,54266,0.702670794
"101",64593,925.416,425.9931378,195.5916031,0.867071545,50411,0.716871098
